Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Subperiods,Hours_per_period,Sub_Weights
,,,,39,1502.43655,10540.707911,3902.217731,8545.958034220666,3488.133591077602,6450.747084701737,0.0,,,
,,,,40,1472.683675,10407.291664,3839.479461,8474.367865944714,3458.913219323574,6396.708664731716,0.0,,,
,,,,41,1447.87703,10227.033368,3765.429881,8374.67008539164,3418.2203940241143,6321.45377058425,0.0,,,
,,,,42,1431.945451,10159.6697,3733.544322,8314.926747898435,3393.835446014931,6276.357696086639,0.0,,,
,,,,43,1486.6120549999994,10477.946639,3835.371868,8424.677718743878,3438.631599532935,6359.201041723195,0.0,,,
,,,,44,1629.4562480000006,11461.087957,4220.038542,8921.3660091946,3641.3607848716106,6734.116355933797,0.0,,,
,,,,45,1646.1452179999999,11719.526929000001,4379.4602909999985,9320.76916788727,3804.381895979308,7035.597916133429,0.0,,,
,,,,46,1578.0130060000001,11443.12674,4282.779324,9188.168066111146,3750.2591919516162,6935.506601937246,0.0,,,
,,,,47,1492.069174,10951.761025,4103.8145060000015,8919.847973054515,3640.741180512276,6732.970496433213,0.0,,,
,,,,48,1372.5005380000002,10167.193505,3806.568061,8455.329635412678,3451.142540931807,6382.338033655523,0.0,,,
,,,,49,1278.668428,9199.186306,3436.3047950000005,7804.2180448679765,3185.3836638785265,5890.859351253501,0.0,,,
,,,,50,1170.875753,8350.274101,3091.747533,7135.286013788348,2912.3511637874585,5385.929262424199,0.0,,,
,,,,51,1105.342752,7809.508587000001,2875.753563,6663.923868994005,2719.959143579104,5030.130887426895,0.0,,,
,,,,52,1070.0425050000001,7530.100315000002,2773.9301600000013,6394.2438356214025,2609.8860564561483,4826.568257922453,0.0,,,
,,,,53,1059.230734,7412.658495999999,2734.846668,6243.942571148694,2548.5388222093434,4713.116326641967,0.0,,,
,,,,54,1057.3761450000004,7415.0674869999975,2749.245602,6171.655955538563,2519.0341872596578,4658.552207201784,0.0,,,
,,,,55,1095.280895,7662.041339,2841.813597,6257.762206285181,2554.1794693249717,4723.547804389853,0.0,,,
,,,,56,1213.524249,8437.375825000001,3153.457099,6666.724253854083,2721.102153696784,5032.2447024491385,0.0,,,
,,,,57,1391.618475,9808.469328,3699.603035,7569.91757398218,3089.751162568617,5714.002283449209,0.0,,,
,,,,58,1449.708399,10521.961045,3962.9004310000014,8267.511703906499,3374.4824364391266,6240.567389654381,0.0,,,
,,,,59,1456.1367460000001,10624.290951,3965.994503,8469.068438072009,3456.7501953182787,6392.708496609715,0.0,,,
,,,,60,1455.3500330000006,10681.615666999998,3920.7322299999996,8594.431699797253,3507.918689542081,6487.3364706606735,0.0,,,
,,,,61,1469.071057,10684.306282,3919.7028219999997,8646.686868063876,3529.247252941098,6526.780248995031,0.0,,,
,,,,62,1446.9318039999994,10679.992207,3899.136526,8643.99107906076,3528.1469348563874,6524.745386082856,0.0,,,
,,,,63,1421.446838,10606.663373000001,3830.226796,8597.193073879349,3509.0457769505047,6489.420839170152,0.0,,,
,,,,64,1422.2518309999994,10533.197935,3777.7708420000004,8561.772161262388,3494.5883135940144,6462.684065143603,0.0,,,
,,,,65,1406.321886,10404.962659,3727.37705,8517.074783377315,3476.3445515009057,6428.9451351217895,0.0,,,
