Time_index,Nuclear,Hydro_Res_1,Hydro_RoR_1,PV_1_0,Wind_1_0,Wind_1_1,Wind_1_2,Nuclear,Hydro_Res_2,Hydro_RoR_2,PV_2_0,Wind_2_0,Wind_2_1,Wind_2_2,Nuclear,Hydro_Res_3,Hydro_RoR_3,PV_3_0,Wind_3_0,Wind_3_1,Wind_3_2,Nuclear,PV_4_0,Wind_4_0,Wind_4_1,Wind_4_2,Nuclear,Hydro_Res_5,Hydro_RoR_5,PV_5_0,Wind_5_0,Wind_5_1,Wind_5_2,Nuclear,Hydro_Res_6,Hydro_RoR_6,PV_6_0,Wind_6_0,Wind_6_1,Wind_6_2,Hydro_Can,CCGT,CCGT,CCGT,CCGT,CCGT,CCGT,OCGT_F,OCGT_F,OCGT_F,OCGT_F,OCGT_F,OCGT_F,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,CCGT_CCS,Wind_offshore_2,Wind_offshore_4,PHS_1,PHS_2,PHS_3,PHS_5,PHS_6,Storage_bat,Storage_bat,Storage_bat,Storage_bat,Storage_bat,Storage_bat
21,1,0.3814933143446813,0.6532035225490526,0.0,0.8078590197477495,0.7589573429368526,0.6076740531607979,1,0.6052731209280153,0.5011370749774583,0.0,0.6954159284561789,0.4937438687602659,0.2821379116197183,1,0.589537054684646,0.6062614829396328,0.0,0.5681261425241255,0.4630326955008215,0.2122348918168508,1,0.0,0.6069694992771977,0.5579026858935551,0.4286554909110741,1,0.5982225571188349,0.5173782631237108,0.0,0.4598603768423727,0.28490384573613803,0.21515710665249616,1,0.7138874646574104,0.4116105403842905,0.0,0.4429700770768551,0.41574510053383096,0.1896186967294959,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7652232871774253,0.3229766168415679,1,1,1,1,1,1,1,1,1,1,1
22,1,0.3814933143446813,0.6532035225490526,0.0,0.7965121745878192,0.7449377962899025,0.6040902221800529,1,0.6052731209280153,0.5011370749774583,0.0,0.7070434698154782,0.4831287334424394,0.2675311774168807,1,0.589537054684646,0.6062614829396328,0.0,0.5990617905794327,0.4688283827110595,0.18544345457425074,1,0.0,0.5804718035564479,0.5302822476875824,0.4441882818571112,1,0.5982225571188349,0.5173782631237108,0.0,0.4597829020881437,0.2724331877468885,0.2114346932160968,1,0.7138874646574104,0.4116105403842905,0.0,0.5056484627869446,0.4332964299369457,0.1889993258513952,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7517669587768337,0.3892045449819455,1,1,1,1,1,1,1,1,1,1,1
23,1,0.3814933143446813,0.6532035225490526,0.0,0.7872693072127877,0.7421759175511871,0.6171890255297716,1,0.6052731209280153,0.5011370749774583,0.0,0.713739346371955,0.4750929583997037,0.2462595000572985,1,0.589537054684646,0.6062614829396328,0.0,0.5961871803415731,0.4567189058529118,0.17515504593042086,1,0.0,0.5872976158725904,0.5482396468707333,0.5216824445157788,1,0.5982225571188349,0.5173782631237108,0.0,0.4757172798821883,0.2778814366496709,0.20951170500636124,1,0.7138874646574104,0.4116105403842905,0.0,0.5523531540816635,0.4504882073193072,0.19371342090137408,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7991367084267162,0.39636820006604734,1,1,1,1,1,1,1,1,1,1,1
24,1,0.3814933143446813,0.6532035225490526,0.0,0.7760279321710454,0.7320259571310015,0.5907944641672271,1,0.6052731209280153,0.5011370749774583,0.0,0.7210995207050744,0.4700036810637823,0.2234501284887292,1,0.589537054684646,0.6062614829396328,0.0,0.6154387481776723,0.4797462086651853,0.17151534682627373,1,0.0,0.6249191265705878,0.5907704620380008,0.5153509605159999,1,0.5982225571188349,0.5173782631237108,0.0,0.4950974609998998,0.2742492978092068,0.2002796202852694,1,0.7138874646574104,0.4116105403842905,0.0,0.5866492212861439,0.4586335682405097,0.19187817899768386,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.798472134993222,0.4703886846902592,1,1,1,1,1,1,1,1,1,1,1
25,1,0.3814933143446813,0.6532035225490526,0.0,0.7668554003726159,0.7315589641050892,0.5840022100697058,1,0.6052731209280153,0.5011370749774583,0.0,0.7228239301967808,0.4639777749712255,0.21810992960825687,1,0.589537054684646,0.6062614829396328,0.0,0.6482826835658193,0.5067922332064452,0.19187184864092646,1,0.0,0.5613567484737413,0.5476849139379965,0.4510067827953134,1,0.5982225571188349,0.5173782631237108,0.0,0.5254124865872996,0.280056745215848,0.1927266038694356,1,0.7138874646574104,0.4116105403842905,0.0,0.5886363757306122,0.459296015389662,0.18879767397054348,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8383803721714024,0.4766548949242998,1,1,1,1,1,1,1,1,1,1,1
26,1,0.3814933143446813,0.6532035225490526,0.0,0.7671155216199563,0.7332240536038663,0.5747348646155275,1,0.6052731209280153,0.5011370749774583,0.0,0.7236063932411472,0.4527751366863528,0.20391648705141724,1,0.589537054684646,0.6062614829396328,0.0,0.6929099974557844,0.5556505050554381,0.2190975671403371,1,0.0,0.5508028589302092,0.5310319780714018,0.4119986064520471,1,0.5982225571188349,0.5173782631237108,0.0,0.5330178405593138,0.28701069916292016,0.1896104498582863,1,0.7138874646574104,0.4116105403842905,0.0,0.5769025864877283,0.4502459097393041,0.18049281696952693,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8396062573291975,0.4870455048507796,1,1,1,1,1,1,1,1,1,1,1
27,1,0.3814933143446813,0.6532035225490526,0.0,0.7724201460853142,0.7292083701491463,0.5787487650574592,1,0.6052731209280153,0.5011370749774583,0.0,0.7274419708655068,0.4590613950027925,0.2040288956319154,1,0.589537054684646,0.6062614829396328,0.0,0.7469300817706908,0.6162997796699975,0.2912032518426656,1,0.0,0.5036730297833749,0.4841786607592257,0.3634457537895551,1,0.5982225571188349,0.5173782631237108,0.0,0.550573309813822,0.2785570815397977,0.17112070242161184,1,0.7138874646574104,0.4116105403842905,0.0,0.5631772520049734,0.4439104862745375,0.16921149287614196,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8339809490691024,0.4343066103836449,1,1,1,1,1,1,1,1,1,1,1
28,1,0.3814933143446813,0.6532035225490526,0.0,0.7766175404871976,0.7211862263063895,0.5645055055104033,1,0.6052731209280153,0.5011370749774583,0.0,0.7284396042997779,0.4502811245929412,0.20297045499003494,1,0.589537054684646,0.6062614829396328,0.0,0.7681981144245739,0.632673218597816,0.2790440836453168,1,0.0,0.4983529607558232,0.4780809382122155,0.3157663368067139,1,0.5982225571188349,0.5173782631237108,0.0,0.5555520102280729,0.2787161524786325,0.1704338443631389,1,0.7138874646574104,0.4116105403842905,0.0,0.5403328511633919,0.4284797926807419,0.16372760117649385,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8212385679292427,0.39741388335075295,1,1,1,1,1,1,1,1,1,1,1
29,1,0.3814933143446813,0.6532035225490526,0.0,0.7797411421532205,0.7216608768188204,0.5540497625925277,1,0.6052731209280153,0.5011370749774583,0.0,0.7296151316715271,0.4418302143378652,0.19913590398823824,1,0.589537054684646,0.6062614829396328,0.0,0.7703848236519172,0.6354936728920528,0.2867206222083028,1,0.0,0.5314599162138676,0.4895843168859058,0.2872025077914505,1,0.5982225571188349,0.5173782631237108,0.0,0.5504769240982006,0.2845511780127756,0.16862788374846294,1,0.7138874646574104,0.4116105403842905,0.0,0.5197038645746679,0.4249309126929665,0.1616777132186247,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7935085024607824,0.3354238167881332,1,1,1,1,1,1,1,1,1,1,1
30,1,0.3814933143446813,0.6532035225490526,0.0,0.7777385518249731,0.7249478535922601,0.543001894060669,1,0.6052731209280153,0.5011370749774583,0.0,0.7249822126041112,0.4269123966477007,0.17807706558792916,1,0.589537054684646,0.6062614829396328,0.0,0.7696360855436604,0.6295563736028708,0.2821152218280844,1,0.0,0.5168115456486653,0.5042136855764052,0.31276694402015404,1,0.5982225571188349,0.5173782631237108,0.0,0.5615899181762749,0.29342248386772024,0.17254817481442575,1,0.7138874646574104,0.4116105403842905,0.0,0.5024904999222797,0.414358919682758,0.15813372260380382,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7214057766904591,0.3130262413227248,1,1,1,1,1,1,1,1,1,1,1
31,1,0.3814933143446813,0.6532035225490526,0.1877130778258728,0.7795884629854644,0.7245062862632594,0.5277726288627482,1,0.6052731209280153,0.5011370749774583,0.16830837106999652,0.7276716892162512,0.4299533345021633,0.17300838376744807,1,0.589537054684646,0.6062614829396328,0.16761138226207642,0.7712879477021016,0.6248172642751406,0.27714682169927196,1,0.16726327990086493,0.5216677990072254,0.5072057980733047,0.31908148034841666,1,0.5982225571188349,0.5173782631237108,0.12830121992726534,0.560642315973958,0.2977756677056788,0.17420182356408312,1,0.7138874646574104,0.4116105403842905,0.08211972629065056,0.4784328059467229,0.4008302203089066,0.14458717509000316,0.4158445128256779,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6486934730239797,0.2773480981688201,1,1,1,1,1,1,1,1,1,1,1
